Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
191,Chad Ryland,ARI,K,15,8,169.9,134.96,,No,Partial Data
312,Casey Washington,ATL,WR,119,5,170.0,11.69,,No,Partial Data
135,Cincinnati Bengals DST,CIN,DST,11,10,169.4,101.37,,No,Partial Data
313,Sione Vaki,DET,RB,76,8,170.0,11.77,,No,Partial Data
418,Devin Neal,NO,RB,113,11,170.2,19.32,1,No,Complete
163,Cam Little,JAX,K,12,8,169.8,138.54,,No,Partial Data
420,Amari Cooper,BUF,WR,156,7,223.56,0.0,1,No,Partial Data
314,Carson Steele,KC,RB,77,10,170.0,12.38,,No,Partial Data
315,DeAndre Carter,CLE,WR,120,9,170.0,44.26,,No,Partial Data
316,Audric Estime,DEN,RB,78,12,170.0,12.83,1,No,Complete
192,Cooper Rush,BAL,QB,25,7,169.9,27.6,,No,Partial Data
317,Johnny Wilson,PHI,WR,121,9,170.0,14.09,,No,Partial Data
318,Deuce Vaughn,DAL,RB,79,10,170.0,3.83,,No,Partial Data
143,Atlanta Falcons DST,ATL,DST,13,5,169.5,100.65,,No,Partial Data
154,Miami Dolphins DST,MIA,DST,16,12,169.7,104.38,,No,Partial Data
429,New England Patriots DST,NE,DST,25,14,,104.87,,No,Partial Data
319,Eric Gray,NYG,RB,80,14,170.0,24.98,,No,Partial Data
320,Mason Tipton,NO,WR,122,11,170.0,26.89,,No,Partial Data
321,Davis Mills,HOU,QB,40,6,170.0,25.69,,No,Partial Data
193,Grant Calcaterra,PHI,TE,27,9,169.9,36.15,,No,Partial Data
322,Rasheen Ali,BAL,RB,81,7,170.0,8.04,,No,Partial Data
435,Mitch Trubisky,BUF,QB,58,7,,28.07,,No,Partial Data
323,Lucky Jackson,MIN,WR,123,6,170.0,18.9,,No,Partial Data
324,Ashton Dulin,IND,WR,124,11,170.0,12.38,,No,Partial Data
325,Spencer Shrader,IND,K,18,11,170.0,134.58,,No,Partial Data
326,Xavier Weaver,ARI,WR,125,8,170.0,6.51,,No,Partial Data
440,D'Wayne Eskridge,MIA,WR,163,12,,26.47,,No,Partial Data
194,Joey Slye,TEN,K,16,10,169.9,128.02,,No,Partial Data
442,Scott Miller,PIT,WR,164,5,,14.62,,No,Partial Data
327,Khalil Herbert,IND,RB,82,11,170.0,0.0,1,No,Partial Data
328,Devin Duvernay,CHI,WR,126,5,170.0,3.35,,No,Partial Data
329,Daniel Bellinger,NYG,TE,45,14,170.0,30.53,,No,Partial Data
330,Justin Watson,HOU,WR,127,6,170.0,3.89,,No,Partial Data
164,Dustin Hopkins,CLE,K,13,9,169.8,126.86,,No,Partial Data
